name,model_type,metric_type,metric_value,train_time
1_Default_CatBoost,CatBoost,mae,0.052782488701513176,13.68
2_CatBoost,CatBoost,mae,0.05276489590869859,25.67
3_CatBoost,CatBoost,mae,0.05327662649413506,13.83
4_CatBoost,CatBoost,mae,0.05070079305386406,258.06
5_CatBoost,CatBoost,mae,0.052456259160164304,17.7
6_CatBoost,CatBoost,mae,0.0521026370468306,56.71
7_CatBoost,CatBoost,mae,0.05179997585573588,38.36
8_CatBoost,CatBoost,mae,0.05212361603802233,22.96
9_CatBoost,CatBoost,mae,0.05256355038617803,21.67
10_CatBoost,CatBoost,mae,0.05203078952509099,52.62
4_CatBoost_KMeansFeatures,CatBoost,mae,0.05021871301242661,363.94
7_CatBoost_KMeansFeatures,CatBoost,mae,0.05240447820324245,29.92
10_CatBoost_KMeansFeatures,CatBoost,mae,0.05171377018566735,70.3
11_CatBoost,CatBoost,mae,0.05069109202541797,158.83
12_CatBoost,CatBoost,mae,0.05091370958615921,153.18
13_CatBoost,CatBoost,mae,0.05142699302937531,43.46
14_CatBoost,CatBoost,mae,0.05158629734657679,211.22
15_CatBoost,CatBoost,mae,0.050611251664063495,209.16
16_CatBoost,CatBoost,mae,0.05151489631521147,157.84
17_CatBoost,CatBoost,mae,0.051562496846572846,83.46
18_CatBoost,CatBoost,mae,0.05121211756497721,173.54
19_CatBoost,CatBoost,mae,0.050868660481407375,144.7
Ensemble,Ensemble,mae,0.05004856109872163,0.94
4_CatBoost_Stacked,CatBoost,mae,0.05161784775305198,128.37
19_CatBoost_Stacked,CatBoost,mae,0.05125662474463429,85.36
12_CatBoost_Stacked,CatBoost,mae,0.051374326319829695,126.73
18_CatBoost_Stacked,CatBoost,mae,0.05098753515553952,227.9
Ensemble_Stacked,Ensemble,mae,0.05004132951920619,1.36
